date,symbol,pred_idx,pred_class,close,signal,close_next,ret_next,pnl,equity
2019-10-17,A,1,0,71.80060577392578,0,71.4651870727539,-0.004671530240677739,-0.0,1.0
2019-10-18,A,1,0,71.4651870727539,0,72.33728790283203,0.012203156051215506,0.0,1.0
2019-10-21,A,1,0,72.33728790283203,0,71.5802001953125,-0.010466078138518254,-0.0,1.0
2019-10-22,A,1,0,71.5802001953125,0,71.85811614990234,0.0038825814098246035,0.0,1.0
2019-10-23,A,1,0,71.85811614990234,0,71.87728881835938,0.0002668128457060491,0.0,1.0
2019-10-24,A,1,0,71.87728881835938,0,72.2510757446289,0.005200348154674083,0.0,1.0
2019-10-25,A,1,0,72.2510757446289,0,72.97940063476562,0.010080471226628925,0.0,1.0
2019-10-28,A,1,0,72.97940063476562,0,72.99858093261719,0.00026281796897117114,0.0,1.0
2019-10-29,A,1,0,72.99858093261719,0,72.95065307617188,-0.0006565587417316135,-0.0,1.0
2019-10-30,A,1,0,72.95065307617188,0,72.59603881835938,-0.004861015533914786,-0.0,1.0
2019-10-31,A,1,0,72.59603881835938,0,73.76525115966797,0.01610573194267595,0.0,1.0
2019-11-01,A,1,0,73.76525115966797,0,73.54483795166016,-0.002988035755897027,-0.0,1.0
2019-11-04,A,1,0,73.54483795166016,0,72.4043960571289,-0.01550675650792574,-0.0,1.0
2019-11-05,A,1,0,72.4043960571289,0,72.63441467285156,0.0031768598075338646,0.0,1.0
2019-11-06,A,1,0,72.63441467285156,0,72.74937438964844,0.0015827169161431033,0.0,1.0
2019-11-07,A,1,0,72.74937438964844,0,73.4489974975586,0.009616895179922072,0.0,1.0
2019-11-08,A,1,0,73.4489974975586,0,73.65025329589844,0.002740075497239202,0.0,1.0
2019-11-11,A,1,0,73.65025329589844,0,73.8419418334961,0.002602686739277397,0.0,1.0
2019-11-12,A,1,0,73.8419418334961,0,73.94734954833984,0.0014274775585050375,0.0,1.0
2019-11-13,A,1,0,73.94734954833984,0,73.56398010253906,-0.005184356817956947,-0.0,1.0
2019-11-14,A,1,0,73.56398010253906,0,75.00155639648438,0.01954185039935998,0.0,1.0
2019-11-15,A,1,0,75.00155639648438,0,74.69485473632812,-0.004089270608398019,-0.0,1.0
2019-11-18,A,1,0,74.69485473632812,0,75.98868560791016,0.017321552818453663,0.0,1.0
2019-11-19,A,1,0,75.98868560791016,0,75.25074768066406,-0.009711155303484773,-0.0,1.0
2019-11-20,A,1,0,75.25074768066406,0,75.03986358642578,-0.0028024185903533375,-0.0,1.0
2019-11-21,A,1,0,75.03986358642578,0,75.82572937011719,0.010472644087183071,0.0,1.0
2019-11-22,A,1,0,75.82572937011719,0,76.91824340820312,0.014408223266184574,0.0,1.0
2019-11-25,A,1,0,76.91824340820312,0,77.57953643798828,0.008597349607630679,0.0,1.0
2019-11-26,A,1,0,77.57953643798828,0,77.70411682128906,0.0016058407799376606,0.0,1.0
2019-11-27,A,1,0,77.70411682128906,0,77.40704345703125,-0.003823135458074231,-0.0,1.0
2019-11-29,A,1,0,77.40704345703125,0,77.0045166015625,-0.005200132151955825,-0.0,1.0
2019-12-02,A,1,0,77.0045166015625,0,76.76494598388672,-0.003111124233340361,-0.0,1.0
2019-12-03,A,1,0,76.76494598388672,0,77.56038665771484,0.010362030007747172,0.0,1.0
2019-12-04,A,1,0,77.56038665771484,0,78.1353988647461,0.007413735694341774,0.0,1.0
2019-12-05,A,1,0,78.1353988647461,0,78.78709411621094,0.008340589040736082,0.0,1.0
2019-12-06,A,1,0,78.78709411621094,0,78.22164916992188,-0.0071768727179483405,-0.0,1.0
2019-12-09,A,1,0,78.22164916992188,0,79.47710418701172,0.01604996865206208,0.0,1.0
2019-12-10,A,1,0,79.47710418701172,0,79.94670867919922,0.005908676429409258,0.0,1.0
2019-12-11,A,1,0,79.94670867919922,0,81.2788314819336,0.016662634706824032,0.0,1.0
2019-12-12,A,1,0,81.2788314819336,0,80.2246322631836,-0.012970157167974592,-0.0,1.0
2019-12-13,A,1,0,80.2246322631836,0,80.93380737304688,0.008839867380591702,0.0,1.0
2019-12-16,A,1,0,80.93380737304688,0,80.45462799072266,-0.005920633143026931,-0.0,1.0
2019-12-17,A,1,0,80.45462799072266,0,79.956298828125,-0.006193915440826093,-0.0,1.0
2019-12-18,A,1,0,79.956298828125,0,80.99132537841797,0.012944903221669551,0.0,1.0
2019-12-19,A,1,0,80.99132537841797,0,81.64301300048828,0.008046387919019904,0.0,1.0
2019-12-20,A,1,0,81.64301300048828,0,81.71009063720703,0.0008215967815684219,0.0,1.0
2019-12-23,A,1,0,81.71009063720703,0,81.74842834472656,0.0004691918369023815,0.0,1.0
2019-12-24,A,1,0,81.74842834472656,0,81.89216613769531,0.00175829426790469,0.0,1.0
2019-12-26,A,1,0,81.89216613769531,0,81.86344909667969,-0.0003506689634676353,-0.0,1.0
2019-12-27,A,1,0,81.86344909667969,0,81.53690338134766,-0.003988907368737725,-0.0,1.0
2019-12-30,A,1,0,81.53690338134766,0,,,,1.0
