date,symbol,open,high,low,close,volume
2019-01-02,A,63.32522534529135,63.391883186627375,62.18251741805679,62.553897857666016,2113300
2019-01-03,A,62.4015473562483,62.63961216823775,59.04007337338314,60.24944305419922,5383900
2019-01-04,A,61.03027575544362,62.801478074703816,61.03027575544362,62.33487319946289,3123700
2019-01-07,A,62.50626462522099,64.21080868289484,62.477698024754815,63.65849685668945,3235100
2019-01-08,A,64.36318082485309,64.9535840065706,63.51567091578925,64.59172821044922,1578100
2019-01-09,A,64.94406430047368,66.33436890674035,64.75361539654783,65.94393920898438,2442300
2019-01-10,A,65.75350074871403,66.61052821766238,65.32497974907872,66.56291961669922,1080900
2019-01-11,A,65.98203014124773,67.04856288777415,65.6487409283207,67.01998901367188,1210800
2019-01-14,A,66.39149259912739,66.93427988911368,66.34387674739779,66.42005920410156,2182700
2019-01-15,A,66.61050719029485,67.37231721683139,66.29626727462046,67.22947692871094,1793100
2019-01-16,A,67.43896899048528,67.73416689829688,66.62955045073342,66.68668365478516,1480300
2019-01-17,A,66.42957288672505,67.83891177783637,66.42957288672505,67.43896484375,1225800
2019-01-18,A,67.88654178835833,68.85784272599699,67.46754552321732,68.49598693847656,1551700
2019-01-22,A,68.02937377377776,68.0674649991516,67.10568153764778,67.91510009765625,1972700
2019-01-23,A,68.51505116680208,69.37208595778549,67.36281832870947,68.22937774658203,2050300
2019-01-24,A,68.0484193731566,68.75308891715567,67.98176154149667,68.73404693603516,1509600
2019-01-25,A,69.31491462858554,70.21004016996793,69.09589192148815,70.13385772705078,2215300
2019-01-28,A,69.28638669340333,69.78155831837543,68.95309740109887,69.77203369140625,1729600
2019-01-29,A,70.18149532411529,70.52430919383377,69.70536575674637,70.04817962646484,1684500
2019-01-30,A,70.21957248948462,71.98125008268141,69.97199039498332,71.83841705322266,1679500
2019-01-31,A,71.61938742130943,72.66687070597806,71.1051667691648,72.4192886352539,2951300
2019-02-01,A,72.52405611645317,72.93352055248941,72.00983533366026,72.40978240966797,1343900
2019-02-04,A,72.54309360423422,72.5907094620661,71.72415025261293,72.40025329589844,2245900
2019-02-05,A,72.18122333728464,72.85732624523037,72.17169871459289,72.6668701171875,1593500
2019-02-06,A,72.47644757932123,73.02875965351964,72.37169848714012,72.65737915039062,1504900
2019-02-07,A,72.105053529057,72.48595858677267,71.295634822136,71.73367309570312,1660600
2019-02-08,A,71.48606887740118,72.19073836552703,71.19087096990756,72.18122100830078,1318100
2019-02-11,A,72.37167063880534,72.74305099902865,72.13360593275664,72.4478530883789,1018000
2019-02-12,A,73.133495374029,73.56200902539459,72.78115692246281,73.3906021118164,2045500
2019-02-13,A,73.67630070286522,73.79056716302988,73.07637272635475,73.56202697753906,1376400
2019-02-14,A,73.32393744926408,73.59056878665413,72.86684996719609,73.34297943115234,1618100
2019-02-15,A,73.92387810076579,74.57141463878988,73.7715204086689,74.56189727783203,1919700
2019-02-19,A,74.27620987961362,74.58093250133382,73.7143804972884,73.81912231445312,2968000
2019-02-20,A,73.82863790932109,75.03801088818211,73.63818901847596,74.80946350097656,2076500
2019-02-21,A,73.96194962609722,74.82850874291472,72.84780841746824,74.17144775390625,3570800
2019-02-22,A,74.42855014887569,74.7142234253807,74.114303006078,74.67613220214844,2797700
2019-02-25,A,75.13321902483386,76.02833733569878,75.08560317987856,75.55220794677734,1878000
2019-02-26,A,75.42843682735365,75.48557004425166,74.67615132250397,74.7999496459961,1992600
2019-02-27,A,74.51425398506667,75.75219337906084,74.51425398506667,75.6283950805664,1254400
2019-02-28,A,75.39987155130042,75.9426589169026,75.12371555614703,75.6474609375,1759100
2019-03-01,A,76.18073476405458,77.5519903146591,76.18073476405458,77.36153411865234,1625900
2019-03-04,A,77.60910172612083,77.85669107875542,75.73315049743209,76.30450439453125,3204100
2019-03-05,A,76.19977501891006,76.20929964478414,75.57128774927703,75.93314361572266,1405600
2019-03-06,A,76.0093114091549,76.16167633306338,74.97135260937631,74.99039459228516,1750500
2019-03-07,A,74.93326039305892,75.32368279141149,74.28572400528161,74.97135162353516,1818100
