date,symbol,open,high,low,close,volume,daily_return,daily_volatility,market_return,beta,alpha,idiosyn_return,idiosyn_volatility,market_adj_return,market_adj_volatility,impact_score
2019-01-09,A,64.94406430047368,66.33436890674035,64.75361539654783,65.94393920898438,2442300,0.020934739416314407,0.027672206855994263,0.004098045450532162,1.2639400891219645,-0.00012081786249215761,0.015875873346835084,0.01075381919669343,0.016836693965782246,0.011610181190748272,0.0
2019-01-10,A,65.75350074871403,66.61052821766238,65.32497974907872,66.56291961669922,1080900,0.009386463944066392,0.02475869628084259,0.004518418782931244,1.2639400891219645,-0.00012081786249215761,0.0037962711673700748,0.009620150132782324,0.004868045161135148,0.010384466404947954,0.0
2019-01-11,A,65.98203014124773,67.04856288777415,65.6487409283207,67.01998901367188,1210800,0.00686672699461921,0.022647038170533318,-0.00014629784190933748,1.2639400891219645,-0.00012081786249215761,0.007172456564452607,0.008894934886874017,0.0070130248365285475,0.009514931465976742,0.0
2019-01-14,A,66.39149259912739,66.93427988911368,66.34387674739779,66.42005920410156,2182700,-0.008951505638831514,0.022024862882912458,-0.005257525167898014,1.2639400891219645,-0.00012081786249215761,-0.002185490947065369,0.008517607388701548,-0.0036939804709335,0.009348453087493732,0.0
2019-01-15,A,66.61050719029485,67.37231721683139,66.29626727462046,67.22947692871094,1793100,0.012186344521647019,0.020655662042886762,0.010721688622945758,1.2639400891219645,-0.00012081786249215761,-0.0012444096894848374,0.008103961386702697,0.0014646558987012614,0.008787066625814544,0.0
2019-01-16,A,67.43896899048528,67.73416689829688,66.62955045073342,66.68668365478516,1480300,-0.008073739358426812,0.02014544010909639,0.0022219854881162515,1.2639400891219645,-0.00012081786249215761,-0.010761378031812022,0.008747053139978223,-0.010295724846543064,0.009402104119326108,0.0
2019-01-17,A,66.42957288672505,67.83891177783637,66.42957288672505,67.43896484375,1225800,0.011280830710658218,0.019163644828849625,0.0075914003822110665,1.2639400891219645,-0.00012081786249215761,0.001806573297498006,0.008299284314100071,0.003689430328447152,0.008928653993852296,0.0
2019-01-18,A,67.88654178835833,68.85784272599699,67.46754552321732,68.49598693847656,1551700,0.01567375918618552,0.01844152374561618,0.01318305304897005,1.2639400891219645,-0.00012081786249215761,-0.0008680121969371138,0.007940071825356264,0.0024907061372154704,0.008513138265826177,0.0
2019-01-22,A,68.02937377377776,68.0674649991516,67.10568153764778,67.91510009765625,1972700,-0.008480596700388698,0.018221060802112637,-0.014157306164566674,1.2639400891219645,-0.00012081786249215761,0.009534207977472797,0.007944880638530055,0.005676709464177976,0.00819879881129843,0.0
2019-01-23,A,68.51505116680208,69.37208595778549,67.36281832870947,68.22937774658203,2050300,0.004627507704087597,0.017513375132178814,0.0022029127742235755,1.2639400891219645,-0.00012081786249215761,0.001963975798399694,0.007633254793414464,0.0024245949298640213,0.007877561853254075,0.0
